City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
397,Dakoro,NE,84.81,scattered clouds,14.5106,6.765,Shagon mai liverpool
399,Arawa,PG,83.89,light rain,-6.2132,155.5367,Coastline Guest House
401,Celestun,MX,83.89,clear sky,20.8667,-90.4,Posada Lilia
403,Inuvik,CA,70.56,scattered clouds,68.3499,-133.7218,Nova Inn Inuvik
404,Muroto,JP,84.24,few clouds,33.2833,134.15,Oota Ryokan
408,Ohara,JP,86.0,broken clouds,35.25,140.3833,魁
411,Pochutla,MX,76.05,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
415,Thunder Bay,CA,74.98,broken clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
417,Mayo,US,84.9,clear sky,38.8876,-76.5119,Resorts Resource Group International
418,Taganak,PH,77.14,broken clouds,6.0833,118.3,Taganak
419,Mabaruma,GY,76.15,clear sky,8.2,-59.7833,Monty Brooms Guest House
420,Nicoya,CR,74.75,light rain,10.1483,-85.452,Guayacan Real
422,Ugoofaaru,MV,81.39,overcast clouds,5.6667,73.0,Ungoofaaru Inn
423,Nabire,ID,82.08,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
424,Olga,RU,80.49,scattered clouds,43.7444,135.2892,Gostinitsa Rosmorport.
429,Washington,US,89.94,clear sky,47.5001,-120.5015,"Cashmere Cider Mill Guest Suites, Weddings & Tasting Room"
430,Brasileia,BR,76.46,clear sky,-11.0161,-68.7481,Pousada Tobias
431,Kalemie,CD,72.81,broken clouds,-5.9475,29.1947,Mahobilali
433,Izumo,JP,85.95,few clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
434,Sao Filipe,CV,78.01,overcast clouds,14.8961,-24.4956,Hotel Xaguate
436,Le Pradet,FR,73.09,clear sky,43.1066,6.0172,Hôtel Kyriad Toulon La Garde
438,Pati,ID,75.92,overcast clouds,-6.7559,111.038,Gitrary Perdana Hotel
439,Monrovia,LR,77.11,light rain,6.3005,-10.7969,Sunset Inn
441,Sola,VU,81.27,broken clouds,-13.8833,167.55,Leumerus Bungalows
443,Ayrum,AM,73.15,scattered clouds,41.1898,44.9014,TIR PARK
444,Fukagawa,JP,82.45,broken clouds,43.7081,142.0392,Irumu Inn
447,Quetta,PK,73.98,clear sky,30.199,67.0097,Hotel Deluxe
448,Moengo,SR,73.92,broken clouds,5.6167,-54.4,Masanga
449,Bubaque,GW,79.65,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
450,Singaparna,ID,71.53,broken clouds,-7.3515,108.111,Wisma Dewi Hotel
451,Caravelas,BR,70.48,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
455,Souris,CA,73.26,broken clouds,49.6172,-100.2612,The Souris Hotel
456,Angoche,MZ,71.17,broken clouds,-16.2325,39.9086,Guest House HESADA
458,Yingkou,CN,77.29,light rain,40.6648,122.2283,Yingkou Juyin Junyue Hotel
459,Nara,JP,83.97,light rain,34.6851,135.8049,Guesthouse Nara Komachi
461,Sao Miguel,BR,75.97,scattered clouds,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
