City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Pangnirtung,CA,2021-08-04 00:19:16,66.1451,-65.7125,49.98,77,69,3.85
153,Boueni,YT,2021-08-04 00:19:16,-12.9025,45.0761,71.58,70,0,7.47
154,Maceio,BR,2021-08-04 00:16:32,-9.6658,-35.7353,72.84,100,90,5.75
155,Zhigansk,RU,2021-08-04 00:19:16,66.7697,123.3711,65.88,45,27,12.62
156,Harnosand,SE,2021-08-04 00:19:17,62.6323,17.9379,53.01,66,8,11.56
157,Yei,SS,2021-08-04 00:19:17,4.095,30.6779,64.76,95,60,0.92
158,Davila,PH,2021-08-04 00:19:17,18.4726,120.5763,82.6,87,100,30.98
159,Mackay,AU,2021-08-04 00:19:18,-21.15,149.2,73.38,49,75,13.8
160,Kodinsk,RU,2021-08-04 00:19:18,58.6881,99.1844,66.02,71,11,1.43
161,Marsaxlokk,MT,2021-08-04 00:19:19,35.8419,14.5431,82.08,89,0,5.75
162,Tiksi,RU,2021-08-04 00:19:19,71.6872,128.8694,44.38,76,97,8.66
163,Mayya,RU,2021-08-04 00:19:19,61.7333,130.2811,63.72,47,23,6.46
164,Tessalit,ML,2021-08-04 00:19:20,20.1986,1.0114,88.59,39,15,18.43
165,Parauna,BR,2021-08-04 00:19:20,-16.9478,-50.4486,69.62,43,73,6.67
166,Erdenet,MN,2021-08-04 00:19:21,49.0333,104.0833,55.15,85,100,4.36
167,Obo,CF,2021-08-04 00:19:21,5.3998,26.4869,66.33,98,9,3.33
168,Ranau,MY,2021-08-04 00:19:21,5.9538,116.6641,75.85,69,100,0.78
169,Tuatapere,NZ,2021-08-04 00:19:22,-46.1333,167.6833,42.82,70,100,3.38
170,Healesville,AU,2021-08-04 00:19:22,-37.65,145.5167,53.35,99,96,2.95
171,Melfi,IT,2021-08-04 00:19:22,40.9965,15.6514,76.23,56,34,7.23
172,Spassk-Dalniy,RU,2021-08-04 00:19:23,44.5978,132.8211,77.13,85,75,9.13
173,Inuvik,CA,2021-08-04 00:19:23,68.3499,-133.7218,65.16,31,20,6.91
174,Vanavara,RU,2021-08-04 00:19:23,60.34,102.2797,65.3,62,67,3.89
175,Manama,BH,2021-08-04 00:17:20,26.2154,50.5832,98.58,49,0,3.44
176,Vawkavysk,BY,2021-08-04 00:19:24,53.1561,24.4513,58.24,77,44,5.14
177,Gornopravdinsk,RU,2021-08-04 00:19:24,60.05,69.9,55.15,93,66,4.7
178,Lagoa,PT,2021-08-04 00:19:25,39.05,-27.9833,71.65,89,5,7.23
179,Ulaanbaatar,MN,2021-08-04 00:19:25,47.9077,106.8832,55.53,82,75,11.18
180,Arraial Do Cabo,BR,2021-08-04 00:19:26,-22.9661,-42.0278,68.45,73,49,14.85
181,Dunedin,NZ,2021-08-04 00:19:26,-45.8742,170.5036,50.81,48,40,10.0
182,Ptuj,SI,2021-08-04 00:19:26,46.4201,15.8702,64.81,88,100,0.0
183,Ribeira Grande,PT,2021-08-04 00:19:27,38.5167,-28.7,72.61,86,1,5.73
184,Isangel,VU,2021-08-04 00:19:27,-19.55,169.2667,75.31,69,40,2.3
185,Livingston,GB,2021-08-04 00:14:44,55.9029,-3.5226,56.26,94,0,3.44
186,Sosnovka,RU,2021-08-04 00:19:27,56.255,51.2842,65.19,82,36,1.23
187,Ucluelet,CA,2021-08-04 00:17:13,48.9329,-125.5528,95.04,78,10,1.99
188,Yerbogachen,RU,2021-08-04 00:19:28,61.2767,108.0108,67.66,61,2,5.19
189,Kanie,JP,2021-08-04 00:19:28,35.1333,136.8,87.22,69,80,1.36
190,Arkhangelskoye,RU,2021-08-04 00:19:29,55.8549,35.3287,53.17,91,81,4.61
191,Namibe,AO,2021-08-04 00:19:29,-15.1961,12.1522,65.12,81,0,8.08
192,Salmas,IR,2021-08-04 00:19:29,38.1973,44.7653,61.79,42,38,2.95
193,Conceicao Das Alagoas,BR,2021-08-04 00:19:30,-19.9147,-48.3883,69.58,43,67,5.37
194,Kloulklubed,PW,2021-08-04 00:19:30,7.0419,134.2556,82.9,76,35,7.94
195,Oswego,US,2021-08-04 00:19:30,43.4501,-76.1497,73.35,71,18,1.5
196,Sinnamary,GF,2021-08-04 00:19:30,5.3833,-52.95,77.65,83,8,7.27
197,Port Hedland,AU,2021-08-04 00:19:31,-20.3167,118.5667,68.05,22,40,17.27
198,Arona,ES,2021-08-04 00:19:31,28.0996,-16.681,65.82,75,20,11.5
199,Kaoma,ZM,2021-08-04 00:19:31,-14.7833,24.8,50.94,37,1,5.7
200,Balabac,PH,2021-08-04 00:19:32,7.9868,117.0645,84.9,75,100,11.34
201,Thompson,CA,2021-08-04 00:15:04,55.7435,-97.8558,84.36,37,75,12.66
202,Port Said,EG,2021-08-04 00:16:12,31.2565,32.2841,84.65,65,0,5.79
203,Iraucuba,BR,2021-08-04 00:19:32,-3.7461,-39.7833,78.93,62,87,3.47
204,Gat,IL,2021-08-04 00:19:32,31.61,34.7642,85.41,42,0,3.62
205,El Alto,PE,2021-08-04 00:19:33,-4.2714,-81.2147,64.74,82,71,8.63
206,Iqaluit,CA,2021-08-04 00:19:33,63.7506,-68.5145,44.33,87,75,17.0
207,Alexandria,EG,2021-08-04 00:18:17,31.2156,29.9553,81.73,66,0,1.74
208,Hackettstown,US,2021-08-04 00:19:34,40.854,-74.8291,72.79,80,100,0.0
209,Kaz,RU,2021-08-04 00:19:34,52.9113,87.3105,59.32,97,80,2.93
210,Ilulissat,GL,2021-08-04 00:19:34,69.2167,-51.1,48.22,81,32,4.61
211,Lata,PT,2021-08-04 00:19:34,40.1629,-8.3327,65.05,98,100,0.98
212,Kibaya,TZ,2021-08-04 00:19:35,-5.3,36.5667,52.79,96,5,3.24
213,Bambanglipuro,ID,2021-08-04 00:19:35,-7.95,110.2833,76.68,89,50,6.11
214,Sao Joao Da Barra,BR,2021-08-04 00:19:36,-21.6403,-41.0511,66.07,85,45,12.93
215,Kattivakkam,IN,2021-08-04 00:19:36,13.2167,80.3167,82.49,65,100,9.8
216,San Cristobal,VE,2021-08-04 00:19:36,7.7669,-72.225,75.38,99,96,4.81
217,College,US,2021-08-04 00:19:37,64.8569,-147.8028,84.58,51,75,9.22
218,Narasannapeta,IN,2021-08-04 00:19:37,18.4167,84.05,81.34,70,96,5.99
219,Codrington,AU,2021-08-04 00:19:37,-38.2667,141.9667,53.33,87,77,14.03
220,Sagua La Grande,CU,2021-08-04 00:19:38,22.8067,-80.0756,79.79,75,93,9.28
221,Cabra,ES,2021-08-04 00:19:38,37.4725,-4.4421,78.91,56,59,5.95
222,Maldonado,UY,2021-08-04 00:19:38,-34.6667,-54.9167,47.59,88,2,3.53
223,Pouebo,NC,2021-08-04 00:19:39,-20.4,164.5667,74.8,54,14,8.7
224,Kollo,NE,2021-08-04 00:19:39,13.3043,2.339,81.03,61,17,11.48
225,Jutai,BR,2021-08-04 00:19:39,-5.1833,-68.9,75.0,53,9,0.58
226,Fairview,US,2021-08-04 00:16:22,40.8126,-73.999,74.55,56,20,0.0
227,East London,ZA,2021-08-04 00:19:40,-33.0153,27.9116,66.02,25,0,7.02
228,Emerald,AU,2021-08-04 00:19:40,-23.5333,148.1667,64.54,32,52,16.11
229,Oranjestad,AW,2021-08-04 00:19:41,12.524,-70.027,82.35,78,20,21.85
230,Minbu,MM,2021-08-04 00:19:41,20.1833,94.8833,76.21,93,98,8.72
231,Anadyr,RU,2021-08-04 00:19:42,64.75,177.4833,48.7,81,75,20.0
