City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,Paracuru,BR,-3.41,-39.0306,80.62,80,58,13.89,broken clouds
158,Kahului,US,20.8947,-156.47,84.22,74,40,24.16,light rain
159,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,57.16,93,98,10.13,overcast clouds
160,Coihaique,CL,-45.5752,-72.0662,48.15,53,90,5.75,light intensity shower rain
161,Katobu,ID,-4.9408,122.5276,78.8,80,89,6.29,overcast clouds
162,Dunedin,NZ,-45.8742,170.5036,52.81,73,51,1.99,broken clouds
163,San Luis,AR,-33.295,-66.3356,62.35,33,2,8.84,clear sky
164,Rio Gallegos,AR,-51.6226,-69.2181,41.05,56,0,8.05,clear sky
165,Banganapalle,IN,15.3167,78.2333,78.64,73,92,16.2,overcast clouds
166,Bom Jesus,BR,-9.0744,-44.3586,72.32,35,35,4.36,scattered clouds
167,Dingle,PH,10.9995,122.6711,80.31,83,55,7.83,broken clouds
168,Shingu,JP,33.7333,135.9833,83.39,92,97,12.24,light rain
169,Aginskoye,RU,51.1,114.53,66.4,61,11,11.54,few clouds
170,Cherskiy,RU,68.75,161.3,55.49,63,53,2.28,broken clouds
171,Okhotsk,RU,59.3833,143.3,62.8,60,1,8.05,clear sky
172,Hasaki,JP,35.7333,140.8333,82.8,76,34,6.4,scattered clouds
173,Khudumelapye,BW,-23.8833,24.75,54.93,39,14,7.7,few clouds
174,Fuyang,CN,32.9,115.8167,81.55,87,43,5.79,light rain
175,Auki,SB,-8.7676,160.7034,81.66,62,24,4.92,few clouds
176,Inhambane,MZ,-23.865,35.3833,65.32,83,0,6.11,clear sky
177,Ukiah,US,39.1502,-123.2078,95.02,27,1,10.36,clear sky
178,Berlevag,NO,70.8578,29.0864,49.84,88,92,1.23,overcast clouds
179,Great Falls,US,47.5002,-111.3008,90.93,20,1,4.0,clear sky
180,Qui Nhon,VN,13.7667,109.2333,84.29,68,100,13.91,overcast clouds
181,Huarmey,PE,-10.0681,-78.1522,65.35,83,3,10.18,clear sky
182,Arman,RU,59.7,150.1667,57.67,55,78,20.85,broken clouds
183,Abha,SA,18.2164,42.5053,64.22,82,0,0.0,clear sky
184,Yulara,AU,-25.2406,130.9889,46.24,57,0,10.36,clear sky
185,Mayumba,GA,-3.432,10.6554,72.86,89,42,5.61,scattered clouds
186,Jalu,LY,29.0331,21.5482,88.68,26,0,9.48,clear sky
187,Kaitangata,NZ,-46.2817,169.8464,46.26,73,46,4.79,scattered clouds
188,Coronel Martinez,PY,-25.75,-56.6167,64.42,57,100,4.76,overcast clouds
189,Morehead,US,37.2711,-87.1764,83.3,54,1,0.0,clear sky
190,Lujiang,CN,31.2581,117.2817,82.96,89,56,7.25,broken clouds
191,Bayonet Point,US,28.3267,-82.6834,81.41,96,88,17.2,overcast clouds
192,Clyde River,CA,70.4692,-68.5914,39.43,100,90,14.97,moderate rain
193,Luderitz,NA,-26.6481,15.1594,56.8,67,11,1.52,few clouds
194,Cap Malheureux,MU,-19.9842,57.6142,68.49,72,72,5.99,broken clouds
195,Haines Junction,CA,60.7522,-137.5108,69.75,60,90,2.3,light rain
196,Novo Aripuana,BR,-5.1206,-60.3797,81.14,37,10,0.63,clear sky
197,Mae Hong Son,TH,19.3003,97.9685,74.16,98,99,0.87,overcast clouds
198,Brodokalmak,RU,55.5748,62.082,63.5,97,41,9.06,scattered clouds
199,Aklavik,CA,68.2191,-135.0107,70.52,67,40,14.97,scattered clouds
200,Shenzhen,CN,22.5455,114.0683,84.11,97,100,5.28,moderate rain
201,Itarema,BR,-2.9248,-39.9167,79.14,78,42,13.49,scattered clouds
202,Zhanaozen,KZ,43.3,52.8,88.03,23,71,8.16,broken clouds
